date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage
24/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
25/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
26/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
29/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
30/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
31/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
01/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
02/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
05/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
06/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
07/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
08/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
09/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
12/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
13/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
14/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
15/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
16/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
19/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
20/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
21/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
22/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
